District,Date,NumberOfCumulativeCases
Klang,28/6/2020,190
KualaLangat,28/6/2020,64
KualaSelangor,28/6/2020,69
Petaling,28/6/2020,436
SabakBernam,28/6/2020,30
Sepang,28/6/2020,153
Gombak,29/6/2020,259
HuluLangat,29/6/2020,631
HuluSelangor,29/6/2020,77
Klang,29/6/2020,190
KualaLangat,29/6/2020,64
KualaSelangor,29/6/2020,69
Petaling,29/6/2020,437
SabakBernam,29/6/2020,30
Sepang,29/6/2020,153
Gombak,30/6/2020,259
HuluLangat,30/6/2020,431
HuluSelangor,30/6/2020,77
Klang,30/6/2020,190
KualaLangat,30/6/2020,64
KualaSelangor,30/6/2020,69
Petaling,30/6/2020,437
SabakBernam,30/6/2020,30
Sepang,30/6/2020,153
Gombak,1/7/2020,259
HuluLangat,1/7/2020,631
HuluSelangor,1/7/2020,77
Klang,1/7/2020,190
KualaLangat,1/7/2020,64
KualaSelangor,1/7/2020,69
Petaling,1/7/2020,437
SabakBernam,1/7/2020,30
Sepang,1/7/2020,153
Gombak,2/7/2020,259
HuluLangat,2/7/2020,631
HuluSelangor,2/7/2020,77
Klang,2/7/2020,190
KualaLangat,2/7/2020,64
KualaSelangor,2/7/2020,69
Petaling,2/7/2020,437
SabakBernam,2/7/2020,30
Sepang,2/7/2020,153
Gombak,3/7/2020,259
HuluLangat,3/7/2020,631
HuluSelangor,3/7/2020,77
Klang,3/7/2020,190
KualaLangat,3/7/2020,64
KualaSelangor,3/7/2020,69
Petaling,3/7/2020,437
SabakBernam,3/7/2020,30
Sepang,3/7/2020,153
Gombak,4/7/2020,259
HuluLangat,4/7/2020,631
HuluSelangor,4/7/2020,77
Klang,4/7/2020,190
KualaLangat,4/7/2020,64
KualaSelangor,4/7/2020,69
Petaling,4/7/2020,437
SabakBernam,4/7/2020,30
Sepang,4/7/2020,153
Gombak,5/7/2020,259
HuluLangat,5/7/2020,631
HuluSelangor,5/7/2020,77
Klang,5/7/2020,190
KualaLangat,5/7/2020,64
KualaSelangor,5/7/2020,69
Petaling,5/7/2020,437
SabakBernam,5/7/2020,30
Sepang,5/7/2020,153
Gombak,6/7/2020,260
HuluLangat,6/7/2020,631
HuluSelangor,6/7/2020,77
Klang,6/7/2020,190
KualaLangat,6/7/2020,64
KualaSelangor,6/7/2020,69
Petaling,6/7/2020,437
SabakBernam,6/7/2020,30
Sepang,6/7/2020,153
Gombak,7/7/2020,260
HuluLangat,7/7/2020,631
HuluSelangor,7/7/2020,77
Klang,7/7/2020,190
KualaLangat,7/7/2020,64
KualaSelangor,7/7/2020,69
Petaling,7/7/2020,437
SabakBernam,7/7/2020,30
Sepang,7/7/2020,154
Gombak,8/7/2020,240
HuluLangat,8/7/2020,631
HuluSelangor,8/7/2020,77
Klang,8/7/2020,190
KualaLangat,8/7/2020,64
KualaSelangor,8/7/2020,69
Petaling,8/7/2020,437
SabakBernam,8/7/2020,30
Sepang,8/7/2020,154
Gombak,9/7/2020,240
HuluLangat,9/7/2020,631
HuluSelangor,9/7/2020,77
Klang,9/7/2020,190
KualaLangat,9/7/2020,64
KualaSelangor,9/7/2020,69
Petaling,9/7/2020,437
SabakBernam,9/7/2020,30
Sepang,9/7/2020,154
Gombak,10/7/2020,260
HuluLangat,10/7/2020,631
HuluSelangor,10/7/2020,77
Klang,10/7/2020,190
KualaLangat,10/7/2020,64
KualaSelangor,10/7/2020,69
Petaling,10/7/2020,437
SabakBernam,10/7/2020,30
Sepang,10/7/2020,154
Gombak,11/7/2020,260
HuluLangat,11/7/2020,631
HuluSelangor,11/7/2020,77
Klang,11/7/2020,190
KualaLangat,11/7/2020,64
KualaSelangor,11/7/2020,69
Petaling,11/7/2020,437
SabakBernam,11/7/2020,30
Sepang,11/7/2020,156
Gombak,12/7/2020,260
HuluLangat,12/7/2020,631
HuluSelangor,12/7/2020,77
Klang,12/7/2020,190
KualaLangat,12/7/2020,64
KualaSelangor,12/7/2020,69
Petaling,12/7/2020,437
SabakBernam,12/7/2020,30
Sepang,12/7/2020,164
Gombak,13/7/2020,260
HuluLangat,13/7/2020,631
HuluSelangor,13/7/2020,77
Klang,13/7/2020,190
KualaLangat,13/7/2020,64
KualaSelangor,13/7/2020,69
Petaling,13/7/2020,437
SabakBernam,13/7/2020,30
Sepang,13/7/2020,164
Gombak,14/7/2020,260
HuluLangat,14/7/2020,631
HuluSelangor,14/7/2020,77
Klang,14/7/2020,190
KualaLangat,14/7/2020,64
KualaSelangor,14/7/2020,69
Petaling,14/7/2020,437
SabakBernam,14/7/2020,30
Sepang,14/7/2020,164
Gombak,15/7/2020,261
HuluLangat,15/7/2020,631
HuluSelangor,15/7/2020,77
Klang,15/7/2020,190
KualaLangat,15/7/2020,64
KualaSelangor,15/7/2020,69
Petaling,15/7/2020,437
SabakBernam,15/7/2020,30
Sepang,15/7/2020,164
Gombak,16/7/2020,261
HuluLangat,16/7/2020,631
HuluSelangor,16/7/2020,77
Klang,16/7/2020,190
KualaLangat,16/7/2020,64
