State,Date,NumberofConfirmedCases
Kuala Lumpur,19/4/2020,19
Putrajaya,19/4/2020,9
Labuan,19/4/2020,0
Perlis,20/4/2020,0
Kedah,20/4/2020,0
Pulau Pinang,20/4/2020,0
Perak,20/4/2020,0
Selangor,20/4/2020,2
Negeri Sembilan,20/4/2020,3
Melaka,20/4/2020,2
Johor,20/4/2020,2
Pahang,20/4/2020,2
Terengganu,20/4/2020,0
Kelantan,20/4/2020,0
Sabah,20/4/2020,2
Sarawak,20/4/2020,6
Kuala Lumpur,20/4/2020,4
Putrajaya,20/4/2020,13
Labuan,20/4/2020,0
Perlis,21/4/2020,0
Kedah,21/4/2020,0
Pulau Pinang,21/4/2020,0
Perak,21/4/2020,0
Selangor,21/4/2020,11
Negeri Sembilan,21/4/2020,1
Melaka,21/4/2020,1
Johor,21/4/2020,1
Pahang,21/4/2020,8
Terengganu,21/4/2020,0
Kelantan,21/4/2020,0
Sabah,21/4/2020,0
Sarawak,21/4/2020,22
Kuala Lumpur,21/4/2020,13
Putrajaya,21/4/2020,0
Labuan,21/4/2020,0
Perlis,22/4/2020,0
Kedah,22/4/2020,1
Pulau Pinang,22/4/2020,0
Perak,22/4/2020,0
Selangor,22/4/2020,1
Negeri Sembilan,22/4/2020,2
Melaka,22/4/2020,1
Johor,22/4/2020,3
Pahang,22/4/2020,6
Terengganu,22/4/2020,0
Kelantan,22/4/2020,0
Sabah,22/4/2020,0
Sarawak,22/4/2020,19
Kuala Lumpur,22/4/2020,16
Putrajaya,22/4/2020,1
Labuan,22/4/2020,0
Perlis,23/4/2020,0
Kedah,23/4/2020,0
Pulau Pinang,23/4/2020,0
Perak,23/4/2020,0
Selangor,23/4/2020,12
Negeri Sembilan,23/4/2020,20
Melaka,23/4/2020,0
Johor,23/4/2020,3
Pahang,23/4/2020,1
Terengganu,23/4/2020,1
Kelantan,23/4/2020,0
Sabah,23/4/2020,1
Sarawak,23/4/2020,4
Kuala Lumpur,23/4/2020,29
Putrajaya,23/4/2020,0
Labuan,23/4/2020,0
Perlis,24/4/2020,0
Kedah,24/4/2020,0
Pulau Pinang,24/4/2020,0
Perak,24/4/2020,0
Selangor,24/4/2020,18
Negeri Sembilan,24/4/2020,2
Melaka,24/4/2020,3
Johor,24/4/2020,4
Pahang,24/4/2020,1
Terengganu,24/4/2020,0
Kelantan,24/4/2020,0
Sabah,24/4/2020,2
Sarawak,24/4/2020,9
Kuala Lumpur,24/4/2020,49
Putrajaya,24/4/2020,0
Labuan,24/4/2020,0
Perlis,25/4/2020,0
Kedah,25/4/2020,0
Pulau Pinang,25/4/2020,0
Perak,25/4/2020,0
Selangor,25/4/2020,1
Negeri Sembilan,25/4/2020,0
Melaka,25/4/2020,0
Johor,25/4/2020,0
Pahang,25/4/2020,1
Terengganu,25/4/2020,0
Kelantan,25/4/2020,0
Sabah,25/4/2020,0
Sarawak,25/4/2020,10
Kuala Lumpur,25/4/2020,39
Putrajaya,25/4/2020,0
Labuan,25/4/2020,0
Perlis,26/4/2020,0
Kedah,26/4/2020,0
Pulau Pinang,26/4/2020,2
Perak,26/4/2020,0
Selangor,26/4/2020,6
Negeri Sembilan,26/4/2020,1
Melaka,26/4/2020,1
Johor,26/4/2020,4
Pahang,26/4/2020,0
Terengganu,26/4/2020,0
Kelantan,26/4/2020,0
Sabah,26/4/2020,0
Sarawak,26/4/2020,7
Kuala Lumpur,26/4/2020,16
Putrajaya,26/4/2020,1
Labuan,26/4/2020,0
Perlis,27/4/2020,0
Kedah,27/4/2020,0
Pulau Pinang,27/4/2020,2
Perak,27/4/2020,0
Selangor,27/4/2020,6
Negeri Sembilan,27/4/2020,1
Melaka,27/4/2020,1
Johor,27/4/2020,4
Pahang,27/4/2020,0
Terengganu,27/4/2020,0
Kelantan,27/4/2020,0
Sabah,27/4/2020,0
Sarawak,27/4/2020,7
Kuala Lumpur,27/4/2020,16
Putrajaya,27/4/2020,1
Labuan,27/4/2020,0
Perlis,28/4/2020,0
Kedah,28/4/2020,0
Pulau Pinang,28/4/2020,0
Perak,28/4/2020,1
Selangor,28/4/2020,4
Negeri Sembilan,28/4/2020,1
Melaka,28/4/2020,0
Johor,28/4/2020,0
Pahang,28/4/2020,0
Terengganu,28/4/2020,0
Kelantan,28/4/2020,0
Sabah,28/4/2020,1
Sarawak,28/4/2020,3
Kuala Lumpur,28/4/2020,30
Putrajaya,28/4/2020,0
Labuan,28/4/2020,0
Perlis,29/4/2020,0
Kedah,29/4/2020,0
Pulau Pinang,29/4/2020,0
Perak,29/4/2020,0
Selangor,29/4/2020,5
Negeri Sembilan,29/4/2020,1
Melaka,29/4/2020,0
Johor,29/4/2020,1
Pahang,29/4/2020,0
Terengganu,29/4/2020,0
Kelantan,29/4/2020,0
Sabah,29/4/2020,1
Sarawak,29/4/2020,8
Kuala Lumpur,29/4/2020,14
Putrajaya,29/4/2020,1
Labuan,29/4/2020,0
Perlis,30/4/2020,0
Kedah,30/4/2020,0
Pulau Pinang,30/4/2020,0
Perak,30/4/2020,0
Selangor,30/4/2020,1
Negeri Sembilan,30/4/2020,72
Melaka,30/4/2020,0
Johor,30/4/2020,0
Pahang,30/4/2020,5
Terengganu,30/4/2020,0
Kelantan,30/4/2020,0
Sabah,30/4/2020,2
Sarawak,30/4/2020,6
Kuala Lumpur,30/4/2020,8
Putrajaya,30/4/2020,0
Labuan,30/4/2020,0
Perlis,1/5/2020,0
Kedah,1/5/2020,0
Pulau Pinang,1/5/2020,0
